title,uri,status
HAVE YOU EVER SEEN THE RAIN CHORDS by Creedence Clearwater Revival @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/creedence_clearwater_revival/have_you_ever_seen_the_rain_chords_56479,Downloaded
LOSING MY RELIGION CHORDS (ver 3) by R.E.M. @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/r_e_m_/losing_my_religion_chords_985344,Downloaded
PUMPED UP KICKS ACOUSTIC CHORDS by Foster the People @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/foster-the-people/pumped-up-kicks-chords-1098165,Downloaded
ANOTHER BRICK IN THE WALL CHORDS by Pink Floyd @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/pink-floyd/another-brick-in-the-wall-chords-1698768,Downloaded
OTHERSIDE CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/otherside-chords-983702,Downloaded
LONG TRAIN RUNNIN CHORDS (ver 3) by The Doobie Brothers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/the-doobie-brothers/long-train-runnin-chords-1755513,Downloaded
WILD WORLD CHORDS by Cat Stevens @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/cat-stevens/wild-world-chords-992169,Downloaded
CARRY ON WAYWARD SON CHORDS by Kansas @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/kansas/carry-on-wayward-son-chords-72959,Downloaded
HERE I GO AGAIN CHORDS by Whitesnake @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/whitesnake/here-i-go-again-chords-352355,Downloaded
PERSONAL JESUS CHORDS by Depeche Mode @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/depeche-mode/personal-jesus-chords-1421700,Downloaded
NEVER GOING BACK AGAIN TAB by Fleetwood Mac @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/never-going-back-again-tabs-43919,Downloaded
FEVER CHORDS by Peggy Lee @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/peggy-lee/fever-chords-783603,Downloaded
BOHEMIAN RHAPSODY CHORDS (ver 5) by Queen @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-chords-1716013,Downloaded
WONT STAND DOWN CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/wont-stand-down-chords-4028263,Downloaded
THOUGHT CONTAGION CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/thought-contagion-chords-2319339,Downloaded
TIME IS RUNNING OUT CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/time-is-running-out-chords-697283,Downloaded
I WANT TO BREAK FREE CHORDS by Queen @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/queen/i-want-to-break-free-chords-100919,Downloaded
SCAR TISSUE TAB (ver 6) by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/scar-tissue-tabs-24735,Downloaded
SCAR TISSUE CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/scar-tissue-chords-717911,Downloaded
THE ZEPHYR SONG CHORDS by Red Hot Chili Peppers @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/red-hot-chili-peppers/the-zephyr-song-chords-39183,Downloaded
FEELING GOOD CHORDS by Muse @ Ultimate-Guitar.Com,https://tabs.ultimate-guitar.com/tab/muse/feeling-good-chords-815018,Downloaded
